nome,idade,estrelas,releases,url,LCOM,LOC,CBO,DIT
tobato/FastDFS_Client,2816,1466,0,https://github.com/tobato/FastDFS_Client,0.0,4856,3.5,6.0
apache/parquet-format,3383,1456,0,https://github.com/apache/parquet-format,0.0,835,4.0,12.0
laobie/NineGridImageView,2749,1450,0,https://github.com/laobie/NineGridImageView,0.0,1962,3.0,3.0
race604/WaveLoading,2472,1446,0,https://github.com/race604/WaveLoading,0.0,394,2.0,2.0
birdLark/LarkMidTable,1138,1442,0,https://github.com/birdLark/LarkMidTable,0.0,13217,3.0,5.0
kenglxn/QRGen,4262,1440,12,https://github.com/kenglxn/QRGen,6.0,2548,3.0,4.0
yahoo/mysql_perf_analyzer,3039,1433,0,https://github.com/yahoo/mysql_perf_analyzer,3.0,21938,3.0,3.0
SmartBear/soapui,4085,1428,5,https://github.com/SmartBear/soapui,1.0,215692,3.0,26.0
OpnTec/bodyapps-android,3376,1399,0,https://github.com/OpnTec/bodyapps-android,0.0,5494,4.0,17.0
WuXiaolong/PullLoadMoreRecyclerView,2996,1388,0,https://github.com/WuXiaolong/PullLoadMoreRecyclerView,0.0,658,3.0,3.0
googlearchive/android-PictureInPicture,2368,1386,0,https://github.com/googlearchive/android-PictureInPicture,0.0,1159,2.0,3.0
liaohuqiu/android-UCToast,2885,1379,0,https://github.com/liaohuqiu/android-UCToast,0.0,418,3.5,2.0
ReactiveX/RxNetty,3591,1377,42,https://github.com/ReactiveX/RxNetty,0.0,28217,4.0,6.0
wingjay/BlurImageView,2863,1350,2,https://github.com/wingjay/BlurImageView,0.5,620,2.5,2.0
msgpack/msgpack-java,4460,1349,3,https://github.com/msgpack/msgpack-java,0.0,10730,2.0,17.0
ddssingsong/webrtc_android,1716,1348,6,https://github.com/ddssingsong/webrtc_android,1.0,25871,2.0,6.0
BiglySoftware/BiglyBT,2246,1345,26,https://github.com/BiglySoftware/BiglyBT,0.0,738816,2.0,39.0
daCapricorn/ArcMenu,4252,1341,0,https://github.com/daCapricorn/ArcMenu,0.0,809,1.5,2.0
Tourenathan-G5organisation/SiliCompressor,2719,1338,8,https://github.com/Tourenathan-G5organisation/SiliCompressor,0.0,2677,3.5,4.0
killme2008/Metamorphosis,4207,1331,0,https://github.com/killme2008/Metamorphosis,0.0,45965,3.0,5.0
android-notes/SwissArmyKnife,2479,1324,11,https://github.com/android-notes/SwissArmyKnife,1.0,6200,3.0,6.0
spring-attic/greenhouse,4587,1319,0,https://github.com/spring-attic/greenhouse,0.0,5599,3.0,4.0
a-voyager/BluetoothHelper,2520,1318,0,https://github.com/a-voyager/BluetoothHelper,0.0,862,2.0,2.0
6thsolution/EasyMVP,2705,1303,12,https://github.com/6thsolution/EasyMVP,0.0,1867,5.0,3.0
niniloveyou/StateButton,2502,1301,1,https://github.com/niniloveyou/StateButton,156.5,563,7.0,2.0
loopj/android-smart-image-view,4570,1298,0,https://github.com/loopj/android-smart-image-view,0.0,371,3.0,2.0
antoniolg/MaterialEverywhere,3254,1295,0,https://github.com/antoniolg/MaterialEverywhere,4.0,130,6.0,4.0
29jitender/Spotlight,2648,1271,7,https://github.com/29jitender/Spotlight,0.0,1798,2.0,2.0
stephanenicolas/Quality-Tools-for-Android,3906,1270,0,https://github.com/stephanenicolas/Quality-Tools-for-Android,0.0,316,4.0,2.0
xiaojianglaile/Calendar,2532,1268,0,https://github.com/xiaojianglaile/Calendar,0.0,5019,3.0,5.0
davidfantasy/mybatis-plus-generator-ui,1227,1267,23,https://github.com/davidfantasy/mybatis-plus-generator-ui,0.0,2201,3.0,4.0
yanzhenjie/Sofia,2234,1234,0,https://github.com/yanzhenjie/Sofia,0.0,855,5.0,3.0
yankai-victor/Loading,3061,1226,0,https://github.com/yankai-victor/Loading,2.0,727,2.5,3.0
threedr3am/JSP-WebShells,1208,1225,0,https://github.com/threedr3am/JSP-WebShells,1.0,316,2.0,2.0
ongakuer/PhotoDraweeView,3059,1225,4,https://github.com/ongakuer/PhotoDraweeView,0.0,1427,3.0,3.0
zstackio/zstack,3084,1220,0,https://github.com/zstackio/zstack,0.0,643964,2.0,155.0
oracle-samples/oracle-db-examples,2389,1196,0,https://github.com/oracle-samples/oracle-db-examples,1.0,15798,4.0,15.0
shibing624/similarity,2500,1195,2,https://github.com/shibing624/similarity,0.0,5128,3.0,5.0
FJ-OMS/oms-erp,475,1194,1,https://github.com/FJ-OMS/oms-erp,0.0,28778,3.0,2.0
apache/guacamole-client,2732,1190,0,https://github.com/apache/guacamole-client,0.0,26737,2.0,9.0
hongyangAndroid/Android-CircleMenu,3153,1178,0,https://github.com/hongyangAndroid/Android-CircleMenu,0.5,358,2.0,2.0
eoecn/android-app,3883,1177,0,https://github.com/eoecn/android-app,0.0,11374,2.0,5.0
Carbs0126/NumberPickerView,2634,1164,0,https://github.com/Carbs0126/NumberPickerView,0.0,1634,2.0,2.0
alexxiyang/shiro-redis,3748,1156,4,https://github.com/alexxiyang/shiro-redis,2.0,1824,4.0,4.0
revtel/react-native-nfc-manager,2280,1156,36,https://github.com/revtel/react-native-nfc-manager,6.0,1745,5.0,2.0
RedApparat/FaceDetector,2263,1148,1,https://github.com/RedApparat/FaceDetector,0.0,490,4.0,4.0
wrapp-archive/floatlabelededittext,3599,1145,0,https://github.com/wrapp-archive/floatlabelededittext,1.0,207,2.0,2.0
glowroot/glowroot,3515,1135,71,https://github.com/glowroot/glowroot,0.0,135028,3.0,33.0
litao0621/NiftyNotification,3314,1134,1,https://github.com/litao0621/NiftyNotification,3.0,771,2.0,2.0
FXMisc/RichTextFX,3634,1130,45,https://github.com/FXMisc/RichTextFX,3.0,15470,5.0,10.0
LLhon/Android-Video-Editor,1849,1122,0,https://github.com/LLhon/Android-Video-Editor,0.0,12040,2.0,4.0
firesunCN/WechatEnhancement,1993,1118,11,https://github.com/firesunCN/WechatEnhancement,0.0,2660,3.0,3.0
google/re2j,3130,1118,8,https://github.com/google/re2j,0.0,8440,3.0,4.0
intuit/wasabi,2640,1117,0,https://github.com/intuit/wasabi,0.0,48789,5.0,6.0
chenhaoxiang/Java,2698,1115,0,https://github.com/chenhaoxiang/Java,0.0,8638,2.0,6.0
mgarin/weblaf,3748,1097,17,https://github.com/mgarin/weblaf,0.0,156946,3.0,17.0
psdcompany/duo-navigation-drawer,2334,1092,10,https://github.com/psdcompany/duo-navigation-drawer,0.0,1831,4.0,3.0
w446108264/XhsWelcomeAnim,3114,1079,0,https://github.com/w446108264/XhsWelcomeAnim,0.0,1340,3.0,3.0
AntonioRedondo/AnotherMonitor,3093,1079,0,https://github.com/AntonioRedondo/AnotherMonitor,0.0,2798,2.0,3.0
kaedea/android-dynamical-loading,2967,1075,0,https://github.com/kaedea/android-dynamical-loading,0.0,13844,3.0,18.0
yingLanNull/AlphaTabsIndicator,2513,1075,0,https://github.com/yingLanNull/AlphaTabsIndicator,0.0,612,4.0,3.0
parzulpan/livebox,1186,1049,0,https://github.com/parzulpan/livebox,0.0,63,2.0,1.0
ChillingVan/android-openGL-canvas,2502,1043,33,https://github.com/ChillingVan/android-openGL-canvas,0.0,10845,3.0,33.0
lyft/scoop,2835,1038,0,https://github.com/lyft/scoop,0.0,3051,4.0,5.0
PebbleTemplates/pebble,3913,1032,61,https://github.com/PebbleTemplates/pebble,1.0,19363,4.0,7.0
michaldrabik/TapBarMenu,2850,1021,0,https://github.com/michaldrabik/TapBarMenu,0.0,419,1.0,2.0
awslabs/aws-sdk-android-samples,3689,1018,0,https://github.com/awslabs/aws-sdk-android-samples,1.0,3046,3.0,3.0
PrototypeZ/SaveState,1930,1018,0,https://github.com/PrototypeZ/SaveState,0.0,943,4.0,2.0
iReaderAndroid/ZeusPlugin,2596,1010,0,https://github.com/iReaderAndroid/ZeusPlugin,0.0,2125,2.0,4.0
zhangxd1989/springboot-dubbox,2407,1004,0,https://github.com/zhangxd1989/springboot-dubbox,1.0,4015,4.0,4.0
xuyisheng/ShortcutHelper,2866,998,0,https://github.com/xuyisheng/ShortcutHelper,1.0,869,3.0,2.0
booncol/Pulsator4Droid,2625,997,0,https://github.com/booncol/Pulsator4Droid,2.0,319,2.0,3.0
seven456/MultiChannelPackageTool,3187,997,1,https://github.com/seven456/MultiChannelPackageTool,86.0,230,2.0,1.0
DragonetMC/DragonProxy,2603,991,19,https://github.com/DragonetMC/DragonProxy,0.0,7287,6.0,8.0
Ellen2018/AndroidFaceInterview,1619,987,0,https://github.com/Ellen2018/AndroidFaceInterview,0.0,168,3.0,2.0
apache/jena,3905,986,0,https://github.com/apache/jena,1.0,577413,5.0,25.0
zzzlw/autovideoplayer,2565,197,0,https://github.com/zzzlw/autovideoplayer,0.0,256,2.0,3.0
xpg/GizwitsBLE,3341,196,0,https://github.com/xpg/GizwitsBLE,0.0,2618,3.0,3.0
shmilyah/spring-cloud-components,1937,196,0,https://github.com/shmilyah/spring-cloud-components,0.0,258,4.0,3.0
yiyuanliu/FlipGank,2464,196,2,https://github.com/yiyuanliu/FlipGank,1.0,2344,3.0,7.0
Stratio/deep-spark,3495,196,0,https://github.com/Stratio/deep-spark,0.0,14974,4.0,5.0
chenjishi/SlideActivity,3468,196,0,https://github.com/chenjishi/SlideActivity,0.0,1047,4.0,7.0
tosslife/PullLoadView,2981,195,0,https://github.com/tosslife/PullLoadView,0.0,401,2.0,3.0
ruby-concurrency/thread_safe,3386,195,1,https://github.com/ruby-concurrency/thread_safe,0.0,7076,2.0,10.0
milaptank/SpannableTextView,2121,195,1,https://github.com/milaptank/SpannableTextView,2.5,477,4.0,2.0
lightless233/Java-Unserialization-Study,1985,195,0,https://github.com/lightless233/Java-Unserialization-Study,1.0,320,4.0,2.0
threerings/playn,4408,195,0,https://github.com/threerings/playn,0.0,38597,3.0,10.0
lidong1665/AndroidPDF,2451,195,1,https://github.com/lidong1665/AndroidPDF,0.0,3024,2.0,4.0
segunfamisa/bottom-navigation-demo,2517,195,0,https://github.com/segunfamisa/bottom-navigation-demo,0.0,130,4.0,2.0
fg2q1q3q/DropDownMenu,2730,195,1,https://github.com/fg2q1q3q/DropDownMenu,0.0,582,2.0,2.0
GcsSloop/Gank,2721,195,1,https://github.com/GcsSloop/Gank,1.0,2088,4.0,4.0
Pedroafa/avatar-android,3497,194,0,https://github.com/Pedroafa/avatar-android,1.0,377,6.0,3.0
JasonMortonNZ/bootstrap3-phpstorm-plugin,3506,193,0,https://github.com/JasonMortonNZ/bootstrap3-phpstorm-plugin,1.0,8,2.0,1.0
geminiwen/AndroidCubeDemo,2908,193,0,https://github.com/geminiwen/AndroidCubeDemo,1.5,166,4.0,2.0
guohuanwen/AndroidLoadingAnimation,2934,193,0,https://github.com/guohuanwen/AndroidLoadingAnimation,0.0,2392,2.0,2.0
jsvazic/GAHelloWorld,4614,193,0,https://github.com/jsvazic/GAHelloWorld,0.0,339,2.0,1.0
617076674/LeetCode,1839,192,0,https://github.com/617076674/LeetCode,0.0,79530,1.0,4.0
yongjhih/RetroFacebook,3024,192,1,https://github.com/yongjhih/RetroFacebook,1.0,14731,5.0,9.0
aosp-mirror/platform_packages_apps_browser,5441,192,0,https://github.com/aosp-mirror/platform_packages_apps_browser,0.0,30547,3.0,10.0
androidthings/sample-simplepio,2466,191,0,https://github.com/androidthings/sample-simplepio,0.0,249,2.0,2.0
msahakyan/nested-recycler-view,2860,191,0,https://github.com/msahakyan/nested-recycler-view,1.0,1982,2.0,6.0
edwardcapriolo/filecrush,4306,191,2,https://github.com/edwardcapriolo/filecrush,0.0,4475,5.0,4.0
RNCryptor/JNCryptor,3536,191,4,https://github.com/RNCryptor/JNCryptor,6.0,2029,3.0,4.0
ameizi/elasticsearch-jest-example,3220,190,0,https://github.com/ameizi/elasticsearch-jest-example,2.0,1052,6.5,1.0
taoyimin/acgn-community,2358,190,0,https://github.com/taoyimin/acgn-community,1.0,2671,2.0,6.0
Udinic/ActivitySplitAnimation,3837,190,0,https://github.com/Udinic/ActivitySplitAnimation,0.0,224,3.0,2.0
NiaNingXue/SearchAnimation,3115,189,0,https://github.com/NiaNingXue/SearchAnimation,0.0,129,5.5,2.0
alibaba/virtualview_tools,2109,189,1,https://github.com/alibaba/virtualview_tools,0.0,8494,4.0,5.0
dreignier/cg-brutaltester,2383,189,3,https://github.com/dreignier/cg-brutaltester,0.0,568,2.0,2.0
fr4nk1/retro-dagger-example,3075,189,0,https://github.com/fr4nk1/retro-dagger-example,0.0,4655,1.0,3.0
greysonp/permiso,2870,189,6,https://github.com/greysonp/permiso,0.0,809,2.0,3.0
XiqingLiu/CustomBehavior,2395,188,0,https://github.com/XiqingLiu/CustomBehavior,4.0,193,6.0,2.0
ssseasonnn/PracticalRecyclerView,2532,188,0,https://github.com/ssseasonnn/PracticalRecyclerView,1.0,3502,2.0,6.0
ragnor/simple-spring-memcached,3506,188,12,https://github.com/ragnor/simple-spring-memcached,0.0,11020,4.0,7.0
pwittchen/InfiniteScroll,2765,188,3,https://github.com/pwittchen/InfiniteScroll,0.0,258,3.0,2.0
UglyTroLL/Douban-Java-SDK-OAuth2,4096,188,0,https://github.com/UglyTroLL/Douban-Java-SDK-OAuth2,0.0,5197,2.0,3.0
alibaba/simplehbase,3576,187,10,https://github.com/alibaba/simplehbase,3.0,14447,5.0,134.0
g00glen00b/ng-spring-boot,3194,187,0,https://github.com/g00glen00b/ng-spring-boot,0.0,47,3.0,1.0
myabc/nbgit,5654,187,0,https://github.com/myabc/nbgit,1.0,19037,2.0,11.0
DarkionAvey/SwipeSpinnerWidget,1739,186,0,https://github.com/DarkionAvey/SwipeSpinnerWidget,0.0,505,3.0,2.0
kingschan1204/jblog,2400,186,0,https://github.com/kingschan1204/jblog,6.0,17732,5.0,3.0
doridori/Dynamo,3103,186,2,https://github.com/doridori/Dynamo,0.0,514,2.0,10.0
zelandiya/maui,3293,185,0,https://github.com/zelandiya/maui,1.0,6283,3.0,4.0
satorufujiwara/recyclerview-binder,3018,185,3,https://github.com/satorufujiwara/recyclerview-binder,0.0,522,4.0,3.0
mesosphere-backup/cassandra-mesos-deprecated,3537,185,2,https://github.com/mesosphere-backup/cassandra-mesos-deprecated,0.0,11190,3.0,4.0
cattong/YiBo,3852,185,0,https://github.com/cattong/YiBo,0.0,61220,4.0,5.0
Slowpoke101/FTBLaunch,4052,185,0,https://github.com/Slowpoke101/FTBLaunch,0.0,18011,2.0,7.0
jcmore2/FreeView,2967,185,0,https://github.com/jcmore2/FreeView,1.0,470,2.0,2.0
mrleolink/SimpleInfiniteCarousel,3851,185,0,https://github.com/mrleolink/SimpleInfiniteCarousel,0.0,176,0.0,2.0
zhouguangfu09/StepCounter,3208,184,0,https://github.com/zhouguangfu09/StepCounter,0.0,1048,1.0,2.0
