Name,Owner_login,Accepted_PRs,URL
Awesome-Hacking,Hack-with-Github,27,https://github.com/Hack-with-Github/Awesome-Hacking
json-server,typicode,110,https://github.com/typicode/json-server
iptv,iptv-org,5766,https://github.com/iptv-org/iptv
tauri,tauri-apps,3307,https://github.com/tauri-apps/tauri
app-ideas,florinpop17,149,https://github.com/florinpop17/app-ideas
moby,moby,18865,https://github.com/moby/moby
Front-End-Checklist,thedaviddias,173,https://github.com/thedaviddias/Front-End-Checklist
GitHub-Chinese-Top-Charts,GrowingGit,0,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts
elasticsearch,elastic,57212,https://github.com/elastic/elasticsearch
netdata,netdata,7187,https://github.com/netdata/netdata
reveal.js,hakimel,386,https://github.com/hakimel/reveal.js
flask,pallets,1513,https://github.com/pallets/flask
godot,godotengine,28735,https://github.com/godotengine/godot
swift,apple,44361,https://github.com/apple/swift
webpack,webpack,4435,https://github.com/webpack/webpack
awesome-mac,jaywcjlove,771,https://github.com/jaywcjlove/awesome-mac
node,base-org,51,https://github.com/base-org/node
core,home-assistant,49320,https://github.com/home-assistant/core
fastapi,tiangolo,1402,https://github.com/tiangolo/fastapi
code-server,coder,1337,https://github.com/coder/code-server
express,expressjs,269,https://github.com/expressjs/express
Chart.js,chartjs,2904,https://github.com/chartjs/Chart.js
redis,redis,3437,https://github.com/redis/redis
langchain,langchain-ai,4680,https://github.com/langchain-ai/langchain
protobuf,protocolbuffers,4306,https://github.com/protocolbuffers/protobuf
mermaid,mermaid-js,1772,https://github.com/mermaid-js/mermaid
resume.github.com,resume,84,https://github.com/resume/resume.github.com
clash_for_windows_pkg,Fndroid,7,https://github.com/Fndroid/clash_for_windows_pkg
interviews,kdn251,42,https://github.com/kdn251/interviews
awesome-machine-learning,josephmisiti,804,https://github.com/josephmisiti/awesome-machine-learning
redux,reduxjs,1626,https://github.com/reduxjs/redux
the-algorithm,twitter,2,https://github.com/twitter/the-algorithm
stable-diffusion,CompVis,5,https://github.com/CompVis/stable-diffusion
atom,atom,3937,https://github.com/atom/atom
cs-video-courses,Developer-Y,130,https://github.com/Developer-Y/cs-video-courses
nest,nestjs,5463,https://github.com/nestjs/nest
vite,vitejs,3569,https://github.com/vitejs/vite
markdown-here,adam-p,20,https://github.com/adam-p/markdown-here
keras,keras-team,2872,https://github.com/keras-team/keras
angular.js,angular,789,https://github.com/angular/angular.js
socket.io,socketio,418,https://github.com/socketio/socket.io
github-readme-stats,anuraghazra,839,https://github.com/anuraghazra/github-readme-stats
ansible,ansible,37187,https://github.com/ansible/ansible
architect-awesome,xingshaocheng,49,https://github.com/xingshaocheng/architect-awesome
awesome-react,enaqx,772,https://github.com/enaqx/awesome-react
Front-end-Developer-Interview-Questions,h5bp,446,https://github.com/h5bp/Front-end-Developer-Interview-Questions
jquery,jquery,640,https://github.com/jquery/jquery
devops-exercises,bregman-arie,244,https://github.com/bregman-arie/devops-exercises
33-js-concepts,leonardomso,169,https://github.com/leonardomso/33-js-concepts
nocode,kelseyhightower,1,https://github.com/kelseyhightower/nocode
awesome-interview-questions,DopplerHQ,175,https://github.com/DopplerHQ/awesome-interview-questions
lodash,lodash,573,https://github.com/lodash/lodash
grafana,grafana,34609,https://github.com/grafana/grafana
shadowsocks-windows,shadowsocks,278,https://github.com/shadowsocks/shadowsocks-windows
funNLP,fighting41love,14,https://github.com/fighting41love/funNLP
supabase,supabase,6008,https://github.com/supabase/supabase
echarts,apache,1209,https://github.com/apache/echarts
awesome-for-beginners,MunGell,335,https://github.com/MunGell/awesome-for-beginners
javascript-questions,lydiahallie,316,https://github.com/lydiahallie/javascript-questions
strapi,strapi,6788,https://github.com/strapi/strapi
