Name,Total_releases,URL
tauri,607,https://github.com/tauri-apps/tauri
app-ideas,0,https://github.com/florinpop17/app-ideas
moby,139,https://github.com/moby/moby
Front-End-Checklist,1,https://github.com/thedaviddias/Front-End-Checklist
GitHub-Chinese-Top-Charts,0,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts
elasticsearch,118,https://github.com/elastic/elasticsearch
netdata,69,https://github.com/netdata/netdata
reveal.js,40,https://github.com/hakimel/reveal.js
flask,30,https://github.com/pallets/flask
swift,48,https://github.com/apple/swift
godot,49,https://github.com/godotengine/godot
webpack,404,https://github.com/webpack/webpack
awesome-mac,6,https://github.com/jaywcjlove/awesome-mac
node,15,https://github.com/base-org/node
core,1147,https://github.com/home-assistant/core
fastapi,166,https://github.com/tiangolo/fastapi
code-server,120,https://github.com/coder/code-server
express,147,https://github.com/expressjs/express
Chart.js,106,https://github.com/chartjs/Chart.js
redis,57,https://github.com/redis/redis
langchain,226,https://github.com/langchain-ai/langchain
protobuf,140,https://github.com/protocolbuffers/protobuf
resume.github.com,0,https://github.com/resume/resume.github.com
mermaid,113,https://github.com/mermaid-js/mermaid
clash_for_windows_pkg,207,https://github.com/Fndroid/clash_for_windows_pkg
interviews,0,https://github.com/kdn251/interviews
awesome-machine-learning,0,https://github.com/josephmisiti/awesome-machine-learning
redux,74,https://github.com/reduxjs/redux
the-algorithm,0,https://github.com/twitter/the-algorithm
stable-diffusion,0,https://github.com/CompVis/stable-diffusion
atom,538,https://github.com/atom/atom
cs-video-courses,0,https://github.com/Developer-Y/cs-video-courses
nest,89,https://github.com/nestjs/nest
vite,326,https://github.com/vitejs/vite
markdown-here,11,https://github.com/adam-p/markdown-here
keras,51,https://github.com/keras-team/keras
angular.js,0,https://github.com/angular/angular.js
socket.io,59,https://github.com/socketio/socket.io
github-readme-stats,0,https://github.com/anuraghazra/github-readme-stats
ansible,30,https://github.com/ansible/ansible
architect-awesome,0,https://github.com/xingshaocheng/architect-awesome
awesome-react,0,https://github.com/enaqx/awesome-react
jquery,8,https://github.com/jquery/jquery
Front-end-Developer-Interview-Questions,0,https://github.com/h5bp/Front-end-Developer-Interview-Questions
devops-exercises,0,https://github.com/bregman-arie/devops-exercises
33-js-concepts,0,https://github.com/leonardomso/33-js-concepts
nocode,1,https://github.com/kelseyhightower/nocode
awesome-interview-questions,0,https://github.com/DopplerHQ/awesome-interview-questions
lodash,2,https://github.com/lodash/lodash
grafana,378,https://github.com/grafana/grafana
shadowsocks-windows,55,https://github.com/shadowsocks/shadowsocks-windows
echarts,111,https://github.com/apache/echarts
funNLP,0,https://github.com/fighting41love/funNLP
supabase,28,https://github.com/supabase/supabase
javascript-questions,0,https://github.com/lydiahallie/javascript-questions
awesome-for-beginners,0,https://github.com/MunGell/awesome-for-beginners
strapi,296,https://github.com/strapi/strapi
awesome-public-datasets,1,https://github.com/awesomedata/awesome-public-datasets
HowToCook,1,https://github.com/Anduin2017/HowToCook
scikit-learn,34,https://github.com/scikit-learn/scikit-learn
cpython,0,https://github.com/python/cpython
Apollo-11,0,https://github.com/chrislgarry/Apollo-11
html5-boilerplate,32,https://github.com/h5bp/html5-boilerplate
yt-dlp,72,https://github.com/yt-dlp/yt-dlp
gatsby,133,https://github.com/gatsbyjs/gatsby
playwright,111,https://github.com/microsoft/playwright
excalidraw,9,https://github.com/excalidraw/excalidraw
hoppscotch,26,https://github.com/hoppscotch/hoppscotch
fzf,30,https://github.com/junegunn/fzf
syncthing,340,https://github.com/syncthing/syncthing
superset,141,https://github.com/apache/superset
element,145,https://github.com/ElemeFE/element
rails,102,https://github.com/rails/rails
Java,0,https://github.com/TheAlgorithms/Java
ML-For-Beginners,0,https://github.com/microsoft/ML-For-Beginners
manim,10,https://github.com/3b1b/manim
design-resources-for-developers,0,https://github.com/bradtraversy/design-resources-for-developers
tesseract,26,https://github.com/tesseract-ocr/tesseract
spring-framework,265,https://github.com/spring-projects/spring-framework
awesome-nodejs,0,https://github.com/sindresorhus/awesome-nodejs
Ventoy,93,https://github.com/ventoy/Ventoy
leetcode,40,https://github.com/azl397985856/leetcode
Best-websites-a-programmer-should-visit,0,https://github.com/sdmg15/Best-websites-a-programmer-should-visit
gpt4all,0,https://github.com/nomic-ai/gpt4all
DeepLearning-500-questions,0,https://github.com/scutan90/DeepLearning-500-questions
react-router,255,https://github.com/remix-run/react-router
normalize.css,0,https://github.com/necolas/normalize.css
Semantic-UI,154,https://github.com/Semantic-Org/Semantic-UI
PayloadsAllTheThings,2,https://github.com/swisskyrepo/PayloadsAllTheThings
tabby,178,https://github.com/Eugeny/tabby
requests,8,https://github.com/psf/requests
obs-studio,186,https://github.com/obsproject/obs-studio
imgui,88,https://github.com/ocornut/imgui
prometheus,268,https://github.com/prometheus/prometheus
ionic-framework,730,https://github.com/ionic-team/ionic-framework
caddy,110,https://github.com/caddyserver/caddy
face_recognition,2,https://github.com/ageitgey/face_recognition
awesome-courses,0,https://github.com/prakhar1989/awesome-courses
